epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
67,75056.7,0.72597,1.68507,0.53991,1.04523,0,0.95343,0.95581,0.98799,0.87,0.95277,0.95504,0.98592,0.75127,0.5003,1.18258,0.32776,0.87302,0,0.0006932,0.0006932,0.0006932
68,75688.4,0.72384,1.62642,0.53353,1.02681,0,0.95386,0.96152,0.98895,0.87008,0.95572,0.95581,0.98732,0.75208,0.50396,1.15806,0.32897,0.87304,0,0.0006734,0.0006734,0.0006734
69,76315.4,0.69992,1.63646,0.50901,1.03059,0,0.95805,0.95116,0.98837,0.87375,0.95805,0.95116,0.98699,0.758,0.49635,1.16208,0.31876,0.8718,0,0.0006536,0.0006536,0.0006536
70,76985.6,0.69607,1.60122,0.50127,1.02686,0,0.95626,0.96595,0.98979,0.87569,0.95319,0.96285,0.9882,0.7545,0.49447,1.19139,0.32248,0.86926,0,0.0006338,0.0006338,0.0006338
71,77647.8,0.69527,1.6277,0.5,1.02421,0,0.95265,0.96667,0.98914,0.87084,0.95036,0.96434,0.98757,0.75335,0.51116,1.17406,0.32345,0.88258,0,0.000614,0.000614,0.000614
72,78301.2,0.71544,1.64496,0.52439,1.03857,0,0.95811,0.96822,0.98953,0.8817,0.95991,0.96279,0.98883,0.76161,0.48263,1.142,0.31231,0.862,0,0.0005942,0.0005942,0.0005942
73,78953.7,0.68839,1.62254,0.51101,1.01979,0,0.96525,0.96896,0.99017,0.88144,0.96441,0.96641,0.9896,0.76289,0.47485,1.13563,0.30666,0.86277,0,0.0005744,0.0005744,0.0005744
74,79616.6,0.68071,1.55528,0.4888,1.01324,0,0.95752,0.97519,0.99013,0.88436,0.95676,0.97442,0.98975,0.76523,0.47843,1.12383,0.299,0.86356,0,0.0005546,0.0005546,0.0005546
75,80264.2,0.68678,1.567,0.49857,1.02155,0,0.96431,0.9634,0.98965,0.8802,0.96566,0.96357,0.98943,0.76724,0.47231,1.11625,0.30545,0.8592,0,0.0005348,0.0005348,0.0005348
76,80921.9,0.69656,1.57442,0.49344,1.01537,0,0.96173,0.97416,0.99086,0.88727,0.96898,0.96871,0.99043,0.77278,0.4683,1.10942,0.29712,0.85526,0,0.000515,0.000515,0.000515
77,81572.8,0.69358,1.56497,0.497,1.01938,0,0.96729,0.96899,0.99109,0.88844,0.96775,0.96899,0.99063,0.77487,0.4725,1.10934,0.29604,0.85665,0,0.0004952,0.0004952,0.0004952
78,82220.7,0.66058,1.50117,0.47605,1.00009,0,0.95857,0.97984,0.99139,0.88762,0.95865,0.97829,0.99076,0.77431,0.46853,1.10766,0.2958,0.85371,0,0.0004754,0.0004754,0.0004754
79,82874.5,0.66251,1.55924,0.46973,1.00508,0,0.97476,0.97209,0.99198,0.89408,0.97443,0.97209,0.99184,0.7778,0.45869,1.10882,0.28539,0.84829,0,0.0004556,0.0004556,0.0004556
80,83532,0.66018,1.53538,0.47303,1.00842,0,0.97152,0.97849,0.99186,0.8926,0.97102,0.97674,0.99133,0.78078,0.46092,1.09941,0.28551,0.85095,0,0.0004358,0.0004358,0.0004358
81,84178.8,0.663,1.5308,0.46815,1.00741,0,0.97139,0.9739,0.99179,0.89389,0.96985,0.97235,0.99121,0.77869,0.45588,1.10245,0.28252,0.84789,0,0.000416,0.000416,0.000416
82,84837.9,0.65646,1.50889,0.46662,0.99693,0,0.97062,0.97306,0.99281,0.89341,0.96829,0.97364,0.99171,0.77509,0.45473,1.09714,0.28632,0.84631,0,0.0003962,0.0003962,0.0003962
83,85483.5,0.64933,1.54855,0.46667,0.99818,0,0.98062,0.98064,0.99304,0.90437,0.97907,0.97909,0.99229,0.78326,0.44456,1.0768,0.27603,0.83938,0,0.0003764,0.0003764,0.0003764
84,86142.4,0.64982,1.52107,0.45907,1.0016,0,0.98068,0.97674,0.99291,0.90096,0.97912,0.97519,0.9922,0.7864,0.44776,1.08087,0.27152,0.84153,0,0.0003566,0.0003566,0.0003566
